Time,Parts0_X,Parts0_Y,Parts0_Z,Parts1_X,Parts1_Y,Parts1_Z,Parts2_X,Parts2_Y,Parts2_Z,Parts3_X,Parts3_Y,Parts3_Z,Parts4_X,Parts4_Y,Parts4_Z,Parts5_X,Parts5_Y,Parts5_Z,Parts6_X,Parts6_Y,Parts6_Z,Parts7_X,Parts7_Y,Parts7_Z,Parts8_X,Parts8_Y,Parts8_Z,Parts9_X,Parts9_Y,Parts9_Z,Parts10_X,Parts10_Y,Parts10_Z,Parts11_X,Parts11_Y,Parts11_Z,Parts12_X,Parts12_Y,Parts12_Z,Parts13_X,Parts13_Y,Parts13_Z,Parts14_X,Parts14_Y,Parts14_Z
44.8666218,52.22336,406.8294,-86.6529,15.84777,201.7967,-37.56601,0,0,0,-145.0046,225.8835,-39.2706,-455.6668,191.9359,-60.43248,-711.8506,329.7564,-35.81399,181.8674,178.9383,-39.2706,381.532,35.9558,-137.3568,673.0361,-51.66972,-176.1814,-128.694,-198.388,52.46819,-28.62081,-630.7463,15.08981,-226.6076,-1071.04,-73.15472,69.35161,-209.2318,49.38952,277.8792,-586.8834,-10.74559,387.6636,-1077.573,33.75892
44.9332884,19.88983,419.5417,-85.22727,3.568953,206.584,-41.09497,0,0,0,-158.5291,219.7936,-42.86032,-472.4633,161.6026,-84.47479,-757.9642,246.8685,-100.998,164.4157,189.7633,-42.86026,350.5945,42.48874,-177.7304,624.5963,-54.62378,-275.2714,-138.1226,-200.6875,61.18956,-71.14989,-639.0392,3.789146,-290.6234,-1047.683,-54.71497,62.50101,-208.4955,55.58719,253.5161,-597.8611,-27.71595,327.0065,-1071.019,-34.54259
44.999955,56.12565,425.3118,-76.33495,23.48169,209.3127,-36.31078,0,0,0,-145.2116,225.6506,-40.05951,-421.8308,113.323,-138.4102,-707.2414,156.1717,-222.161,189.7838,193.7577,-40.05948,398.7396,31.95932,-174.9346,660.5597,-82.86539,-297.1797,-107.1374,-202.6527,27.24526,-64.63081,-649.3279,-4.653487,-288.1567,-1047.625,-61.15558,84.24399,-211.0922,30.49407,248.4218,-603.3573,-25.00097,317.6036,-1084.583,-22.89209
45.0666216,31.51215,427.8374,-66.12786,3.220296,210.7517,-30.43538,0,0,0,-157.1343,229.3322,-33.65136,-421.9171,95.60158,-182.1236,-706.6724,102.067,-297.304,171.4786,190.7512,-33.65133,363.8544,27.5096,-177.2829,630.669,-90.34049,-318.4855,-110.6758,-203.6897,25.5084,-108.1597,-654.3476,8.879988,-335.6068,-1055.955,-54.38442,58.98951,-221.9637,48.68939,217.5108,-623.9658,-6.803822,267.7205,-1100.171,-24.74126
45.1332882,2.793031,430.8782,-1.477702,3.341357,213.6082,-3.954991,0,0,0,-171.162,232.5938,-7.705333,-446.8528,166.606,-153.1322,-731.2938,242.709,-201.8931,172.0275,194.7454,-7.705398,412.4199,25.8476,-110.4328,723.8395,-78.57372,-139.7517,-106.8242,-205.4121,13.42171,-118.702,-654.823,22.8219,-309.1128,-1056.96,-83.98271,71.5375,-223.7391,2.818284,212.0193,-631.0878,57.52409,283.5391,-1097.75,34.69188
45.1999548,36.16664,445.1608,-29.32864,14.83582,222.5184,-20.11337,0,0,0,-152.9988,239.3375,-17.72123,-463.6301,128.0758,-138.7893,-725.0976,196.1661,-191.8109,183.6447,206.2668,-17.72121,344.7451,43.01747,-194.7657,620.427,-83.78742,-306.3959,-114.0754,-211.6186,4.708661,-159.5837,-672.6857,18.60705,-384.2759,-1037.792,-44.14019,80.33551,-222.2516,22.34523,185.6484,-661.5735,5.199823,197.8025,-1075.148,-41.00107
45.2666214,44.95173,448.8124,-12.12107,24.97742,228.8855,-9.898523,0,0,0,-140.566,244.3696,-4.501143,-472.9782,145.3208,-141.066,-715.5075,161.6303,-232.3188,194.0762,214.0148,-4.501122,356.5934,71.71564,-169.3937,608.6987,-76.42555,-281.5921,-100.6801,-211.3,21.98376,-160.8092,-651.499,27.48062,-379.1116,-1029.543,-35.65515,77.32604,-222.1424,4.925696,190.5286,-649.1997,24.00059,194.9976,-1070.688,-30.16643
45.333288,26.32138,438.1734,-17.91906,11.78762,211.5311,-9.509104,0,0,0,-156.0091,228.2074,-8.582125,-453.3668,93.76772,-173.4393,-714.912,65.25804,-302.8496,182.2325,194.8607,-8.582146,298.6577,63.66423,-180.4507,536.202,-88.11969,-295.5445,-107.5713,-203.7677,15.59134,-201.2729,-653.229,7.035368,-421.5318,-1031.816,-45.1623,75.92857,-220.6198,13.7475,146.4296,-658.8912,-22.11409,141.0623,-1084.227,-57.33512
45.3999546,27.85733,435.3908,-21.80573,19.89719,210.3326,-6.17738,0,0,0,-150.813,228.8747,-0.5669867,-469.6953,85.83133,-118.0062,-749.1168,71.97458,-219.9924,185.4283,189.8045,-0.5669471,269.8849,64.24988,-195.8033,495.631,-89.536,-329.6083,-111.5285,-201.1654,27.33009,-198.6227,-639.6289,31.94086,-435.0198,-1039.502,1.284674,70.99976,-220.7796,19.62973,133.4458,-649.6841,-11.11385,119.9911,-1097.636,-62.15557
45.4666212,32.04713,435.4147,-28.9797,20.19003,210.319,-16.37844,0,0,0,-145.6922,230.3636,-6.454988,-465.9483,90.38182,-93.86448,-760.3058,67.6855,-173.2345,181.1468,187.0083,-6.455026,284.3196,35.42258,-212.7194,530.1445,-132.431,-379.6476,-113.1952,-199.3476,35.73885,-214.328,-627.7301,41.1546,-455.3787,-1030.006,30.34362,66.65456,-221.8855,13.33688,96.14956,-650.4124,-49.25238,80.41765,-1108.15,-71.17661
